GeoID,GeoType,TimePeriodID,Value,CI,Note,GeoTypeDesc,Geography,Lat,Long,TimePeriod,Indicator
101,CD,311,7.2131,,,Community District,Financial District (CD1),40.7074,-74.012,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
102,CD,311,8.4212,,,Community District,Greenwich Village and Soho (CD2),40.7298,-74.0015,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
103,CD,311,7.1749,,,Community District,Lower East Side and Chinatown (CD3),40.7196,-73.9855,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
104,CD,311,7.818,,,Community District,Clinton and Chelsea (CD4),40.7554,-73.9975,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
105,CD,311,9.1041,,,Community District,Midtown (CD5),40.7523,-73.9841,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
106,CD,311,7.4707,,,Community District,Stuyvesant Town and Turtle Bay (CD6),40.7447,-73.9746,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
107,CD,311,6.1016,,,Community District,Upper West Side (CD7),40.7872,-73.9761,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
108,CD,311,6.3768,,,Community District,Upper East Side (CD8),40.7716,-73.9557,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
109,CD,311,6.2464,,,Community District,Morningside Heights and Hamilton Heights (CD9),40.8181,-73.955,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
110,CD,311,6.2489,,,Community District,Central Harlem (CD10),40.8137,-73.9447,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
111,CD,311,6.1641,,,Community District,East Harlem (CD11),40.7949,-73.935,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
112,CD,311,6.2806,,,Community District,Washington Heights and Inwood (CD12),40.8551,-73.9315,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
201,CD,311,6.1235,,,Community District,Mott Haven and Melrose (CD1),40.8109,-73.9165,Annual Average 2022,Fine particles (PM 2.5): Mean (mcg/m3)
